Category,Fuel,Segment,Euro.Standard,Technology,Pollutant,Mode,Road.Slope,Load,Min.Speed.[km/h],Max.Speed.[km/h],Alpha,Beta,Gamma,Delta,Epsilon,Zita,Hta,Thita,Reduction.Factor.[%],Bio.Reduction.Factor.[%],120
Buses,Diesel,Urban Buses Midi <=15 t,Conventional,,CO,,-0.06,0,11,86,-9.71310834471239e-05,0.022412832253521,2.55220085944619,-1.78551450620962,0.00121751995561957,0.011196288833409,0.164182885437765,0,0,0,86
Buses,Diesel,Urban Buses Midi <=15 t,Conventional,,CO,,-0.06,0.5,11,86,-6.01371348120128e-06,0.00179311394120708,1.15798203508107,-4.20709942623097,0.000449266558489471,0.00482398410982879,0.0307327305442718,0,0,0,86
Buses,Diesel,Urban Buses Midi <=15 t,Conventional,,CO,,-0.06,1,11,86,-5.03137361450521e-18,9.06946416383884e-16,2.83221909954205,3.87992595793447e-13,0.00116106661477196,0.00652417084396169,0.28634861026053,0,0,0,86
Buses,Diesel,Urban Buses Midi <=15 t,Conventional,,CO,,-0.04,0,11,86,0.00190990909306959,-0.0127737611202515,4.22831251404015,3.50248451569641,0.00260918094522464,-0.0190586363842507,0.555000177471382,0,0,0,86
Buses,Diesel,Urban Buses Midi <=15 t,Conventional,,CO,,-0.04,0.5,11,86,-3.03884521162025e-05,0.0177457891827036,1.7861330555409,-5.42008597537159,0.000544565123597592,0.0118942671068318,0.017015020323723,0,0,0,86
Buses,Diesel,Urban Buses Midi <=15 t,Conventional,,CO,,-0.04,1,11,86,-3.70250300667616e-05,0.0169373444718692,2.47908556898663,-8.57041490594204,0.000726135279263917,0.0129992165443021,0.045557093965473,0,0,0,86
Buses,Diesel,Urban Buses Midi <=15 t,Conventional,,CO,,-0.02,0,11,86,0.00242737471824463,-0.0854814486313101,2.17610248469098,14.6190933812597,0.00092764553346597,-0.0214323608457771,0.476043337242864,0,0,0,86
Buses,Diesel,Urban Buses Midi <=15 t,Conventional,,CO,,-0.02,0.5,11,86,0.000957399753060701,-0.0355156947546044,0.930793617855369,6.65309262307115,0.000397354383918346,-0.0090827327675242,0.20506332961312,0,0,0,86
Buses,Diesel,Urban Buses Midi <=15 t,Conventional,,CO,,-0.02,1,11,86,0.000686087976570761,-0.0279996563232456,1.03365633394214,5.43518873592019,0.000308284227283204,-0.00484425590469435,0.16929807027626,0,0,0,86
Buses,Diesel,Urban Buses Midi <=15 t,Conventional,,CO,,0,0,11,86,0.00148255837140696,-0.044263787297191,2.70908345836314,9.16067255504297,0.000470450967551195,-0.000459836124640408,0.292379633481123,0,0,0,86
Buses,Diesel,Urban Buses Midi <=15 t,Conventional,,CO,,0,0.5,11,86,0.0015127921766835,-0.0455769141400381,2.77988471099398,9.44634416080055,0.000463567982197944,-0.000513693585992759,0.288255162432726,0,0,0,86
Buses,Diesel,Urban Buses Midi <=15 t,Conventional,,CO,,0,1,11,86,0.00100607763006267,-0.0226301716752684,2.26035704138355,7.58465945727055,0.000291448718036886,0.00383926469176276,0.194601538471746,0,0,0,86
Buses,Diesel,Urban Buses Midi <=15 t,Conventional,,CO,,0.02,0,11,86,0.000935507532105839,-0.0188342780466303,1.95331072876144,7.94599499962654,0.000273099984302159,0.00362258422855327,0.171126512190135,0,0,0,86
Buses,Diesel,Urban Buses Midi <=15 t,Conventional,,CO,,0.02,0.5,11,86,0.00103169234795789,0.0655265721622538,6.61480553029365,-9.42340465046408,0.000123058828001815,0.0569318668136676,-0.0738336653775855,0,0,0,86
Buses,Diesel,Urban Buses Midi <=15 t,Conventional,,CO,,0.02,1,11,86,0.000495840187612886,0.0430038131730726,1.38121961542864,13.6552633472937,0.000102691182267394,0.0143710343209569,0.0737152860169169,0,0,0,86
Buses,Diesel,Urban Buses Midi <=15 t,Conventional,,CO,,0.04,0,11,86,0.00146111852685581,-0.0397012405578973,0.802246695822973,8.93006003065785,0.000341928691101261,-0.00747150711429621,0.155888887437702,0,0,0,86
Buses,Diesel,Urban Buses Midi <=15 t,Conventional,,CO,,0.04,0.5,11,82,0.00336460930294835,-0.0913408613643589,0.84640632563803,12.7782304048006,0.000591157625464459,-0.0163835452311059,0.214790459449311,0,0,0,82
Buses,Diesel,Urban Buses Midi <=15 t,Conventional,,CO,,0.04,1,11,71,0.00661606303939925,-0.181615032665953,1.5320391204336,13.7792474413883,0.000903621667835188,-0.0251563712329851,0.2731529987576,0,0,0,71
Buses,Diesel,Urban Buses Midi <=15 t,Conventional,,CO,,0.06,0,11,80,0.00357908686689141,-0.0987158989678581,0.856538262133464,10.7655179257781,0.000638716043342835,-0.0178662732126991,0.210733940326119,0,0,0,80
Buses,Diesel,Urban Buses Midi <=15 t,Conventional,,CO,,0.06,0.5,11,66,0.0111647017342563,-0.314569674848454,5.04433964720882,-21.1749771796523,0.00119908618170228,-0.0189696030756392,0.129750543066684,0,0,0,66
Buses,Diesel,Urban Buses Midi <=15 t,Conventional,,CO,,0.06,1,11,55,0.00428942270914127,0.102344288052534,11.1260754255445,-22.2471310260004,-0.000554038591749588,0.07501375109685,-0.175037733885679,0,0,0,55
Buses,Diesel,Urban Buses Midi <=15 t,Conventional,,NOx,,-0.06,0,11,86,-0.00073788784166307,0.0430447132739542,3.41499599609792,1.01472267962084,0.000598843062345295,0.0299788110045752,0.0729687368100855,0,0,0,86
Buses,Diesel,Urban Buses Midi <=15 t,Conventional,,NOx,,-0.06,0.5,11,86,-0.000631553860408422,0.0357359595469329,2.58042685986574,1.83649415388971,0.000459905377698592,0.0237123469155815,0.0738506178741302,0,0,0,86
Buses,Diesel,Urban Buses Midi <=15 t,Conventional,,NOx,,-0.06,1,11,86,-0.000578910243629356,0.0292339106108603,2.51706026900305,3.50507772634742,0.000370439580353537,0.0236303935778608,0.100742064317947,0,0,0,86
Buses,Diesel,Urban Buses Midi <=15 t,Conventional,,NOx,,-0.04,0,11,86,-0.000423482489606947,0.0510213174381011,3.21902246001493,4.38878852831198,0.000403385918444046,0.0247123620402096,0.090600336401035,0,0,0,86
Buses,Diesel,Urban Buses Midi <=15 t,Conventional,,NOx,,-0.04,0.5,11,86,-0.000864196168720123,0.0636722709827324,4.70576141923191,7.15669366063524,0.000442299238807624,0.033860022700079,0.191328055025058,0,0,0,86
Buses,Diesel,Urban Buses Midi <=15 t,Conventional,,NOx,,-0.04,1,11,86,-0.000602200832833768,0.0371920632905014,2.9551589094765,4.58152273419395,0.00022910840297273,0.0202763147576001,0.139573623583865,0,0,0,86
Buses,Diesel,Urban Buses Midi <=15 t,Conventional,,NOx,,-0.02,0,11,86,0.0132714511531711,0.0484552678213993,12.9075318350813,-0.0660625481128679,0.00431046793840478,0.0013068396941841,0.681465041246697,0,0,0,86
Buses,Diesel,Urban Buses Midi <=15 t,Conventional,,NOx,,-0.02,0.5,11,86,0.00138367074167315,0.209778496532764,7.08990564159179,-2.42512708973779,0.00109936646826865,0.0466518350256468,0.0934420136965607,0,0,0,86
Buses,Diesel,Urban Buses Midi <=15 t,Conventional,,NOx,,-0.02,1,11,86,-0.000464706975985829,0.207381771861973,6.49230527565264,13.6133525487287,0.000670228237311017,0.0421659818366963,0.234864408840394,0,0,0,86
Buses,Diesel,Urban Buses Midi <=15 t,Conventional,,NOx,,0,0,11,86,0.00373477143848158,-0.0589653435403712,3.75536963887314,14.7685515761004,0.000522938193704627,-0.0020792542262262,0.281827200642616,0,0,0,86
Buses,Diesel,Urban Buses Midi <=15 t,Conventional,,NOx,,0,0.5,11,86,2.6442852227689e-05,0.0565286192684346,4.27634688625794,16.2410211723879,-5.9571209861015e-05,0.0185960954260517,0.195144200705738,0,0,0,86
Buses,Diesel,Urban Buses Midi <=15 t,Conventional,,NOx,,0,1,11,86,0.0171541008262952,0.165914999946937,12.342289498042,-4.43990543554718,0.00257523199731317,0.0151730352228241,0.46525001115654,0,0,0,86
Buses,Diesel,Urban Buses Midi <=15 t,Conventional,,NOx,,0.02,0,11,86,0.00657822660538942,-0.124350488699891,4.31838834552622,17.80864774091,0.000644349910776114,-0.00899506953547185,0.318344315737927,0,0,0,86
Buses,Diesel,Urban Buses Midi <=15 t,Conventional,,NOx,,0.02,0.5,11,86,0.000164336703082746,0.187370237330415,10.3722796489461,28.8348863605426,-0.000105626047022252,0.0329543043117232,0.410087752057741,0,0,0,86
